Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,FIPS
41525.0,42512.0,29650.0,13750.0,,18542.0,13149
60424.0,62010.0,58448.0,,72840.0,46703.0,13151
53270.0,58985.0,41191.0,28500.0,52375.0,53719.0,13153
34156.0,42619.0,22332.0,,,,13155
53379.0,54911.0,31625.0,47974.0,58750.0,47549.0,13157
42368.0,43550.0,38393.0,,,,13159
36385.0,37822.0,20357.0,,,29866.0,13161
26557.0,41547.0,17467.0,55833.0,,15608.0,13163
24604.0,29552.0,19763.0,,,,13165
34438.0,40158.0,16637.0,,,,13167
51857.0,56293.0,38529.0,,,86806.0,13169
40344.0,47421.0,20448.0,,,36146.0,13171
37605.0,44768.0,16422.0,,,36625.0,13173
32356.0,38798.0,20954.0,,,37019.0,13175
61537.0,64484.0,51638.0,,50833.0,,13177
42201.0,44140.0,40170.0,35694.0,45833.0,43938.0,13179
34243.0,36931.0,27500.0,,,,13181
48863.0,51000.0,41222.0,18813.0,,29259.0,13183
36834.0,45193.0,24116.0,103971.0,29704.0,27230.0,13185
43804.0,44625.0,,,,43571.0,13187
36656.0,50554.0,22130.0,,,17679.0,13189
42988.0,50587.0,27511.0,,,55948.0,13191
28684.0,41875.0,17660.0,,56645.0,,13193
41912.0,42850.0,30750.0,45750.0,,28886.0,13195
36242.0,39266.0,26210.0,,,223750.0,13197
35832.0,44852.0,24829.0,,,,13199
33983.0,42076.0,17279.0,,,,13201
31915.0,39833.0,25763.0,,,28929.0,13205
48744.0,54655.0,22596.0,,,58958.0,13207
